rank,sweep_stage,title,year,venue,authors,doi,url,source,citation_count,query_hits,concepts,focus_tags,relevance_score,hostile_score,abstract_snippet,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
269,serious_skim,Assimilating human feedback from autonomous vehicle interaction in reinforcement learning models,2024,Autonomous Agents and Multi-Agent Systems,Richard Fox; Elliot A. Ludvig,10.1007/s10458-024-09659-4,https://doi.org/10.1007/s10458-024-09659-4,openalex,4,coactive_learning,Computer science; Predictability; Reinforcement learning; Artificial intelligence; Machine learning; Judgement; Task (project management); Preference,preference learning; reward inference; safety/control,11.902,16.805,"A significant challenge for real-world automated vehicles (AVs) is their interaction with human pedestrians. This paper develops a methodology to directly elicit the AV behaviour pedestrians find suitable by collecting quantitative data that can be used to measure and improve an algorithm's performance. Starting with a Deep Q Network (DQN) trained on a simple Pygame/Python-based pedestrian crossing environment, the reward structure was adapted to allow adjustment by human feedback. Feedback was collected by eliciting behavioural judgements collected from people in a controlled environment. The",Claims that ranking or preference feedback can teach robot objectives without direct reward engineering.,"Elicits human preferences or improvements and fits a reward, ranking, or trajectory optimizer.",human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective,feature map; reward family,physical correction energy may lie in the nullspace of the robot's learning update; the smallest useful correction may not be a preference query,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
270,serious_skim,Social Robots for Language Learning: A Review,2018,Review of Educational Research,Rianne van den Berghe; Josje Verhagen; Ora OudgenoegPaz; Sanne H.G. van der Ven; Paul Leseman,10.3102/0034654318821286,https://doi.org/10.3102/0034654318821286,openalex,356,interactive_imitation; intervention_learning,Artificial intelligence; Computer science; Grammar; Language acquisition; Psychology; Reading (process); Robot; Vocabulary,intervention learning,11.901,17.729,"In recent years, robots have increasingly been implemented as tutors in both first- and second-language education. The field of robot-assisted language learning (RALL) is developing rapidly. Studies have been published targeting different languages, age groups, and aspects of language and using different robots and methodologies. The present review presents an overview of the results obtained so far in RALL research and discusses the current possibilities and limitations of using social robots for first- and second-language learning. Thirty-three studies in which vocabulary, reading skills, sp","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the robot can infer intent while sharing control authority,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
271,serious_skim,Ways to Learn a Therapist's Patient-specific Intervention: Robotics-vs Telerobotics-mediated Hands-on Teaching,2019,,Jason Fong; Carlos Martnez; Mahdi Tavakoli,10.1109/icra.2019.8793907,https://doi.org/10.1109/icra.2019.8793907,openalex,7,kinesthetic_teaching,Modalities; Kinesthetic learning; Telerobotics; Robotics; Rehabilitation; Intervention (counseling); Robot; Rehabilitation robotics,kinesthetic teaching; intervention learning,11.895,17.163,"Due to the limitations of therapists time and healthcare resources to cover the increasing demand for rehabilitation services, robot-assisted rehabilitation is becoming an appealing, powerful and economical solution. In our previous research, a solution that combines Learning from Demonstration (LfD) and robotic rehabilitation to save the therapists time and reduce the therapy costs was proposed. In this paper we compare two modalities, Robot-and Telerobotic-Mediated Kinesthetic Teaching (RMKT and TMKT), for implementing LfD in robotic rehabilitation. Our results show that behaviors demonstrat",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,human input is treated as an informative training signal rather than only transient compliance; the teacher can show behavior close enough to the desired policy; the robot can infer intent while sharing control authority,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
272,serious_skim,A survey of Tactile Human-Robot Interactions,2010,Robotics and Autonomous Systems,Brenna Argall; Aude Billard,10.1016/j.robot.2010.07.002,https://doi.org/10.1016/j.robot.2010.07.002,openalex,349,correction_learning; hri_correction; human_feedback; kinesthetic_teaching; lfd; physical_correction,Artificial intelligence; Categorization; Computer science; Human-computer interaction; Human-robot interaction; Robot; Tactile sensor,physical correction; kinesthetic teaching; embodied hri,11.893,15.707,,"Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
273,serious_skim,Interactive Learning of Continuous Actions from Corrective Advice Communicated by Humans,2015,Lecture notes in computer science,Carlos Celemin; Javier RuizdelSolar,10.1007/978-3-319-29339-4_2,https://doi.org/10.1007/978-3-319-29339-4_2,openalex,11,lfd,Computer science; Corrective feedback; Advice (programming); Reinforcement learning; Artificial intelligence; Action (physics); Robot; Domain (mathematical analysis),physical correction; reward inference,11.891,13.453,"An interactive learning framework that allows non-expert humans to shape a policy through corrective advice, using a binary signal in the action domain of the robot/agent, is proposed. One of the most innovative features of COACH (COrrective Advice Communicated by Humans), the proposed framework, is a mechanism for adaptively adjusting the amount of human feedback that a given action receives, taking into consideration past feedback. The performance of COACH is compared with the one of TAMER (Teaching an Agent Manually via Evaluative Reinforcement), ACTAMER (Actor-Critic TAMER), and an autonom",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,"Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",human input is treated as an informative training signal rather than only transient compliance,feature map; policy class,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
274,serious_skim,"Robot Collisions: A Survey on Detection, Isolation, and Identification",2017,IEEE Transactions on Robotics,Sami Haddadin; Alessandro De Luca; Alin AlbuSchffer,10.1109/tro.2017.2723903,https://doi.org/10.1109/tro.2017.2723903,openalex,755,correction_learning; hri_correction; human_feedback; physical_correction,Computer science; Context (archaeology); Flexibility (engineering); Identification (biology); Isolation (microbiology); Robot; Robot control; Workspace,physical correction; safety/control; embodied hri,11.878,15.878,"Robot assistants and professional coworkers are becoming a commodity in domestic and industrial settings. In order to enable robots to share their workspace with humans and physically interact with them, fast and reliable handling of possible collisions on the entire robot structure is needed, along with control strategies for safe robot reaction. The primary motivation is the prevention or limitation of possible human injury due to physical contacts. In this survey paper, based on our early work on the subject, we review, extend, compare, and evaluate experimentally model-based algorithms for","Improves how robots use human feedback, corrections, demonstrations, or interaction data.",Formulates correction or stabilization through a control objective or constrained optimization.,the robot can infer intent while sharing control authority,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
275,serious_skim,Human-in-the-loop machine learning: a state of the art,2022,Artificial Intelligence Review,Eduardo Mosqueira-Rey; Elena Hernndez-Pereira; David Alonso-Ros; Jos Bobes-Bascarn; ngel Fernndez-Leal,10.1007/s10462-022-10246-w,https://doi.org/10.1007/s10462-022-10246-w,openalex,826,correction_learning; hri_correction; human_feedback; interactive_imitation; intervention_learning; lfd,Active learning (machine learning); Artificial intelligence; Aside; Computer science; Domain (mathematical analysis); Instance-based learning; Machine learning; Process (computing),physical correction; intervention learning; safety/control; embodied hri,11.867,17.867,"Abstract Researchers are defining new types of interactions between humans and machine learning algorithms generically called human-in-the-loop machine learning. Depending on who is in control of the learning process, we can identify: active learning, in which the system remains in control; interactive machine learning, in which there is a closer interaction between users and learning systems; and machine teaching, where human domain experts have control over the learning process. Aside from control, humans can also be involved in the learning process in other ways. In curriculum learning huma","Improves how robots use human feedback, corrections, demonstrations, or interaction data.",Formulates correction or stabilization through a control objective or constrained optimization.,the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
276,serious_skim,Bringing Robotics to Formal Education: The Thymio Open-Source Hardware Robot,2017,IEEE Robotics & Automation Magazine,Francesco Mondada; Michal Bonani; Fanny Riedo; Manon Briod; La Pereyre; Philippe Rtornaz; Stphane Magnenat,10.1109/mra.2016.2636372,https://doi.org/10.1109/mra.2016.2636372,openalex,143,correction_learning; hri_correction; human_feedback; lfd; physical_correction; shared_autonomy,Artificial intelligence; Computer science; Educational robotics; Mobile robot; Open source hardware; Robot; Robotics; Software,physical correction; reward inference; embodied hri,11.855,15.088,"Mobile robots are valuable tools for education because of both the enthusiasm they raise and the multidisciplinary nature of robotics technology. Mobile robots give access to a wide range of fields, such as complex mechanics, sensors, wireless transmission, mathematics, and computer science. However, despite their potential as educational tools, robots are still not as widespread in schools as they could be. In this article, we identify five key reasons: lack of diversity, high cost, noninclusive design, lack of educational material, and lack of stability over time. Then, we describe our answe","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,feature map,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
277,serious_skim,Control Strategies for Soft Robotic Manipulators: A Survey,2018,Soft Robotics,Thomas George Thuruthel; Yasmin Ansari; Egidio Falotico; Cecilia Laschi,10.1089/soro.2017.0007,https://doi.org/10.1089/soro.2017.0007,openalex,624,correction_learning; hri_correction; human_feedback; physical_correction,Artificial intelligence; Computer science; Control (management); Control engineering; Field (mathematics); Robot; Robotics; Soft robotics,physical correction; safety/control; embodied hri,11.845,15.845,"With the rise of soft robotics technology and applications, there have been increasing interests in the development of controllers appropriate for their particular design. Being fundamentally different from traditional rigid robots, there is still not a unified framework for the design, analysis, and control of these high-dimensional robots. This review article attempts to provide an insight into various controllers developed for continuum/soft robots as a guideline for future applications in the soft robotics field. A comprehensive assessment of various control strategies and an insight into","Improves how robots use human feedback, corrections, demonstrations, or interaction data.",Formulates correction or stabilization through a control objective or constrained optimization.,the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
278,serious_skim,Language to Rewards for Robotic Skill Synthesis,2023,arXiv (Cornell University),Wenhao Yu; Nimrod Gileadi; Chuyuan Fu; Sean Kirmani; Kuang-Huei Lee; Montse Gonzalez Arenas; Hao-Tien Lewis Chiang; Tom Erez,10.48550/arxiv.2306.08647,https://doi.org/10.48550/arxiv.2306.08647,openalex,38,human_feedback,Robot; Computer science; Interface (matter); Context (archaeology); Robotics; Artificial intelligence; Human-computer interaction; Control (management),physical correction; reward inference; safety/control,11.830,14.199,"Large language models (LLMs) have demonstrated exciting progress in acquiring diverse new capabilities through in-context learning, ranging from logical reasoning to code-writing. Robotics researchers have also explored using LLMs to advance the capabilities of robotic control. However, since low-level robot actions are hardware-dependent and underrepresented in LLM training corpora, existing efforts in applying LLMs to robotics have largely treated LLMs as semantic planners or relied on human-engineered control primitives to interface with the robot. On the other hand, reward functions are sh",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,"Infers an objective or reward model from observed human input, demonstrations, or feedback.",human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective; future behavior changes smoothly with the learned cost or trajectory parameters,reward family,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
279,serious_skim,Adaptive representation of dynamics during learning of a motor task,1994,Journal of Neuroscience,Reza Shadmehr; FA Mussa-Ivaldi,10.1523/jneurosci.14-05-03208.1994,https://doi.org/10.1523/jneurosci.14-05-03208.1994,openalex,2667,correction_learning; hri_correction; human_feedback; physical_correction,Adaptation (eye); Computer science; Field (mathematics); Force field (fiction); Kinematics; Motor learning; Task (project management); Workspace,physical correction; safety/control; embodied hri,11.826,15.826,"We investigated how the CNS learns to control movements in different dynamical conditions, and how this learned behavior is represented. In particular, we considered the task of making reaching movements in the presence of externally imposed forces from a mechanical environment. This environment was a force field produced by a robot manipulandum, and the subjects made reaching movements while holding the end-effector of this manipulandum. Since the force field significantly changed the dynamics of the task, subjects' initial movements in the force field were grossly distorted compared to their","Improves how robots use human feedback, corrections, demonstrations, or interaction data.",Formulates correction or stabilization through a control objective or constrained optimization.,the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
280,serious_skim,Robot Interaction Styles for Conversation Practice in Second Language Learning,2020,International Journal of Social Robotics,Olov Engwall; Jos Lopes; Anna hlund,10.1007/s12369-020-00635-y,https://doi.org/10.1007/s12369-020-00635-y,openalex,53,hri_correction,Facilitator; Conversation; Psychology; Interview; Human-robot interaction; Robot; Style (visual arts); Social robot,physical correction; preference learning; embodied hri,11.824,16.411,"Abstract Four different interaction styles for the social robot Furhat acting as a host in spoken conversation practice with two simultaneous language learners have been developed, based on interaction styles of human moderators of language cafs. We first investigated, through a survey and recorded sessions of three-party language caf style conversations, how the interaction styles of human moderators are influenced by different factors (e.g., the participants language level and familiarity). Using this knowledge, four distinct interaction styles were developed for the robot: sequentially aski",Claims that ranking or preference feedback can teach robot objectives without direct reward engineering.,"Elicits human preferences or improvements and fits a reward, ranking, or trajectory optimizer.",the feedback can be explained by a stable latent objective,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; the smallest useful correction may not be a preference query,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
281,serious_skim,Robots As Intentional Agents: Using Neuroscientific Methods to Make Robots Appear More Social,2017,Frontiers in Psychology,Eva Wiese; Giorgio Metta; Agnieszka Wykowska,10.3389/fpsyg.2017.01663,https://doi.org/10.3389/fpsyg.2017.01663,openalex,297,correction_learning; hri_correction; interactive_imitation; physical_correction; shared_autonomy,Artificial intelligence; Cognitive psychology; Cognitive science; Computer science; Psychology; Robot,physical correction; embodied hri,11.823,15.532,"Robots are increasingly envisaged as our future cohabitants. However, while considerable progress has been made in recent years in terms of their technological realization, the ability of robots to interact with humans in an intuitive and social way is still quite limited. An important challenge for social robotics is to determine how to design robots that can perceive the user's needs, feelings, and intentions, and adapt to users over a broad range of cognitive abilities. It is conceivable that if robots were able to adequately demonstrate these skills, humans would eventually accept them as","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
282,serious_skim,Trends in Smart Manufacturing: Role of Humans and Industrial Robots in Smart Factories,2020,Current Robotics Reports,Linn Danielsen Evjemo; Tone Beate Gjerstad; Esten Ingar Grtli; Gbor Sziebig,10.1007/s43154-020-00006-5,https://doi.org/10.1007/s43154-020-00006-5,openalex,204,correction_learning; hri_correction; human_feedback; physical_correction; shared_autonomy,Computer science; Cyber-physical system; Industrial Internet; Industry 4.0; Internet of Things; Relation (database); Robot; Smart manufacturing,physical correction; embodied hri,11.810,15.274,"Abstract Purpose of Review This paper provides an overview of the role of humans and robots in smart factories, their connection to Industry 4.0, and which progress they make when it comes to related technologies. Recent Findings The current study shows that a decade was not enough to provide a reference implementation or application of Industry 4.0, like smart factories. In 2011, Industry 4.0 was mentioned for the first time in the scientific community. Industry 4.0 arrived with many new enabling technologies and buzzwords, e.g., Internet of Things (IoT), Cyber-Physical Systems (CPS), and Dig","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
283,serious_skim,"Past, Present, and Future of Aerial Robotic Manipulators",2021,IEEE Transactions on Robotics,Anbal Ollero; Marco Tognon; Alejandro Surez; Dongjun Lee; Antonio Franchi,10.1109/tro.2021.3084395,https://doi.org/10.1109/tro.2021.3084395,openalex,447,intervention_learning,Underactuation; Teleoperation; Control engineering; Robotics; Artificial intelligence; Thrust; Engineering; Robot manipulator,shared autonomy; intervention learning; safety/control,11.800,17.776,"This article analyzes the evolution and current trends in aerial robotic manipulation, comprising helicopters, conventional underactuated multirotors, and multidirectional thrust platforms equipped with a wide variety of robotic manipulators capable of physically interacting with the environment. It also covers cooperative aerial manipulation and interconnected actuated multibody designs. The review is completed with developments in teleoperation, perception, and planning. Finally, a new generation of aerial robotic manipulators is presented with our vision of the future.",Claims that autonomy can assist or interpret human control in embodied tasks.,"Blends human input with autonomous inference over goals, actions, or assistance modes.",future behavior changes smoothly with the learned cost or trajectory parameters; the robot can infer intent while sharing control authority,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; assistance may mask whether future autonomous behavior actually changed,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
284,serious_skim,Search and Rescue Robotics,2008,,Robin R. Murphy; Satosh Tadokoro; Daniele Nardi; Adam Jacoff; Paolo Fiorini; Howie Choset; Aydan M. Erkmen,10.1007/978-3-540-30301-5_51,https://doi.org/10.1007/978-3-540-30301-5_51,openalex,347,correction_learning; hri_correction; human_feedback; intervention_learning; physical_correction; shared_autonomy,Artificial intelligence; Computer science; Preparedness; Rescue robot; Robot; Robotics; Scope (computer science); Search and rescue,physical correction; intervention learning; embodied hri,11.790,17.601,,"Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
285,serious_skim,"Collaborative Multi-Robot Search and Rescue: Planning, Coordination, Perception, and Active Vision",2020,IEEE Access,Jorge Pea Queralta; Jussi Taipalmaa; Bilge Can Pullinen; Victor Kathan Sarker; Tuan Nguyen Gia; Hannu Tenhunen; Moncef Gabbouj; Jenni Raitoharju,10.1109/access.2020.3030190,https://doi.org/10.1109/access.2020.3030190,openalex,486,intervention_learning,Active perception; Robot; Computer science; Search and rescue; Human-computer interaction; Artificial intelligence; Context (archaeology); Teleoperation,reward inference; shared autonomy; intervention learning; safety/control,11.787,19.787,"Search and rescue (SAR) operations can take significant advantage from supporting autonomous or teleoperated robots and multi-robot systems. These can aid in mapping and situational assessment, monitoring and surveillance, establishing communication networks, or searching for victims. This paper provides a review of multi-robot systems supporting SAR operations, with system-level considerations and focusing on the algorithmic perspectives for multi-robot coordination and perception. This is, to the best of our knowledge, the first survey paper to cover (i) heterogeneous SAR robots in different",Claims that autonomy can assist or interpret human control in embodied tasks.,"Blends human input with autonomous inference over goals, actions, or assistance modes.",the feedback can be explained by a stable latent objective; future behavior changes smoothly with the learned cost or trajectory parameters; the robot can infer intent while sharing control authority,reward family,physical correction energy may lie in the nullspace of the robot's learning update; assistance may mask whether future autonomous behavior actually changed,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
286,serious_skim,Passive Brain-Computer Interfaces for Enhanced Human-Robot Interaction,2020,Frontiers in Robotics and AI,Maryam Alimardani; Kazuo Hiraki,10.3389/frobt.2020.00125,https://doi.org/10.3389/frobt.2020.00125,openalex,86,correction_learning; hri_correction; human_feedback; lfd; physical_correction; shared_autonomy,Artificial intelligence; Brain-computer interface; Computer science; Electroencephalography; Human-computer interaction; Human-robot interaction; Neuroscience; Robot,physical correction; safety/control; embodied hri,11.784,14.686,"Brain-computer interfaces (BCIs) have long been seen as control interfaces that translate changes in brain activity, produced either by means of a volitional modulation or in response to an external stimulation. However, recent trends in the BCI and neurofeedback research highlight passive monitoring of a user's brain activity in order to estimate cognitive load, attention level, perceived errors and emotions. Extraction of such higher order information from brain signals is seen as a gateway for facilitation of interaction between humans and intelligent systems. Particularly in the field of r","Improves how robots use human feedback, corrections, demonstrations, or interaction data.",Formulates correction or stabilization through a control objective or constrained optimization.,human input is treated as an informative training signal rather than only transient compliance,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
287,serious_skim,A review of collective robotic construction,2019,Science Robotics,Kirstin Petersen; Nils Napp; Robert StuartSmith; Daniela Rus; Mirko Kova,10.1126/scirobotics.aau8479,https://doi.org/10.1126/scirobotics.aau8479,openalex,214,correction_learning; hri_correction; human_feedback; physical_correction; shared_autonomy,Computer science; Construction engineering; Engineering; Human-computer interaction,physical correction; safety/control; embodied hri,11.780,15.276,"The increasing need for safe, inexpensive, and sustainable construction, combined with novel technological enablers, has made large-scale construction by robot teams an active research area. Collective robotic construction (CRC) specifically concerns embodied, autonomous, multirobot systems that modify a shared environment according to high-level user-specified goals. CRC tightly integrates architectural design, the construction process, mechanisms, and control to achieve scalability and adaptability. This review gives a comprehensive overview of research trends, open questions, and performanc","Improves how robots use human feedback, corrections, demonstrations, or interaction data.",Formulates correction or stabilization through a control objective or constrained optimization.,the robot can infer intent while sharing control authority,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; assistance may mask whether future autonomous behavior actually changed,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
288,serious_skim,An Intuitive Robot Learning from Human Demonstration,2018,Lecture notes in computer science,Uchenna Emeoha Ogenyi; Gongyue Zhang; Chenguang Yang; Zhaojie Ju; Honghai Liu,10.1007/978-3-319-97586-3_16,https://doi.org/10.1007/978-3-319-97586-3_16,openalex,6,kinesthetic_teaching,Computer science; Robot; Artificial intelligence; Human-computer interaction; Computer vision,kinesthetic teaching,11.778,12.945,,Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
289,serious_skim,MimicPlay: Long-Horizon Imitation Learning by Watching Human Play,2023,Conference on Robot Learning,Chen Wang; Linxi (Jim) Fan; Jiankai Sun; Ruohan Zhang; Li Fei-Fei; Danfei Xu; Yuke Zhu; Anima Anandkumar,10.48550/arXiv.2302.12422,https://www.semanticscholar.org/paper/a68db57f08f6d72c0d3b22d451d2606dca880f94,semanticscholar,321,interactive_imitation,,kinesthetic teaching; safety/control,11.757,15.516,"Imitation learning from human demonstrations is a promising paradigm for teaching robots manipulation skills in the real world. However, learning complex long-horizon tasks often requires an unattainable amount of demonstrations. To reduce the high data requirement, we resort to human play data - video sequences of people freely interacting with the environment using their hands. Even with different morphologies, we hypothesize that human play data contain rich and salient information about physical interactions that can readily facilitate robot policy learning. Motivated by this, we introduce",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy,policy class,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
290,serious_skim,RLIF: Interactive Imitation Learning as Reinforcement Learning,2023,arXiv (Cornell University),Jianlan Luo; Perry Dong; Yuexiang Zhai; Yi Ma; Sergey Levine,10.48550/arxiv.2311.12996,https://doi.org/10.48550/arxiv.2311.12996,openalex+semanticscholar,32,interactive_imitation,Artificial intelligence; Computer science; Imitation; Machine learning; Psychology; Reinforcement learning; Social psychology,physical correction; reward inference; intervention learning; safety/control,11.755,16.013,"Although reinforcement learning methods offer a powerful framework for automatic skill acquisition, for practical learning-based control problems in domains such as robotics, imitation learning often provides a more convenient and accessible alternative. In particular, an interactive imitation learning method such as DAgger, which queries a near-optimal expert to intervene online to collect correction data for addressing the distributional shift challenges that afflict nave behavioral cloning, can enjoy good performance both in theory and practice without requiring manually specified reward fu",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,"Infers an objective or reward model from observed human input, demonstrations, or feedback.",human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective,reward family; policy class,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
291,serious_skim,Collaborative Research Project: Developing and Testing a Robot-Assisted Intervention for Children With Autism,2020,Frontiers in Robotics and AI,Viviane Kostrubiec; Jeanne Kruck,10.3389/frobt.2020.00037,https://doi.org/10.3389/frobt.2020.00037,openalex,45,interactive_imitation,Autism; Computer science; Intervention (counseling); Robot; Human-computer interaction; Data science; Artificial intelligence; Psychology,reward inference; intervention learning; safety/control,11.753,16.233,"The present work is a collaborative research aimed at testing the effectiveness of the robot-assisted intervention administered in real clinical settings by real educators. Social robots dedicated to assisting persons with autism spectrum disorder (ASD) are rarely used in clinics. In a collaborative effort to bridge the gap between innovation in research and clinical practice, a team of engineers, clinicians and researchers working in the field of psychology developed and tested a robot-assisted educational intervention for children with low-functioning ASD (N=20) A total of 14 lessons targeti",Claims that human interventions can keep learning robots safe or provide targeted training data.,"Infers an objective or reward model from observed human input, demonstrations, or feedback.",human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective; the robot can infer intent while sharing control authority,reward family,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
